restaurant_id,restaurant,product_id,menu_item,cuisine,price
138,Sakura Sushi,d3,Salmon Sashimi,Japanese,5.76
138,Sakura Sushi,d4,Tempura,Japanese,8.19
138,Sakura Sushi,s1,Salmon Sashimi,Japanese,8.42
138,Sakura Sushi,s4,California Roll,Japanese,9.59
138,Sakura Sushi,n3,Teriyaki,Japanese,10.86
138,Sakura Sushi,d2,Mochi,Japanese,10.91
138,Sakura Sushi,n2,Tempura,Japanese,12.59
138,Sakura Sushi,n1,California Roll,Japanese,13.96
138,Sakura Sushi,s1,Ramen,Japanese,14.02
138,Sakura Sushi,s2,Ramen,Japanese,14.79
138,Sakura Sushi,s2,Salmon Sashimi,Japanese,14.91
162,Sakura Sushi,s2,Salmon Sashimi,Japanese,8.32
162,Sakura Sushi,d5,California Roll,Japanese,10.2
162,Sakura Sushi,n4,Ramen,Japanese,12.58
162,Sakura Sushi,d1,Salmon Sashimi,Japanese,12.95
174,Sakura Sushi,s4,Tempura,Japanese,5.99
174,Sakura Sushi,s2,Salmon Sashimi,Japanese,9.44
174,Sakura Sushi,s3,Mochi,Japanese,10.7
174,Sakura Sushi,n5,Mochi,Japanese,11.47
174,Sakura Sushi,d2,Mochi,Japanese,12.05
174,Sakura Sushi,d5,California Roll,Japanese,13.65
174,Sakura Sushi,d4,Salmon Sashimi,Japanese,14.79
30,Sakura Sushi,s4,California Roll,Japanese,5.19
30,Sakura Sushi,n2,Ramen,Japanese,7.11
30,Sakura Sushi,d1,Ramen,Japanese,9.01
30,Sakura Sushi,s5,Mochi,Japanese,10.34
30,Sakura Sushi,s3,Mochi,Japanese,10.95
30,Sakura Sushi,d4,Teriyaki,Japanese,11.01
30,Sakura Sushi,s2,Teriyaki,Japanese,11.38
30,Sakura Sushi,n1,Teriyaki,Japanese,11.97
30,Sakura Sushi,d3,Salmon Sashimi,Japanese,13.14
30,Sakura Sushi,s2,Salmon Sashimi,Japanese,13.39
30,Sakura Sushi,d2,Tempura,Japanese,14.2
30,Sakura Sushi,s4,Ramen,Japanese,14.22
54,Sakura Sushi,d1,California Roll,Japanese,5.91
54,Sakura Sushi,n3,Ramen,Japanese,7.7
54,Sakura Sushi,s4,Salmon Sashimi,Japanese,7.77
54,Sakura Sushi,s5,Teriyaki,Japanese,11.45
54,Sakura Sushi,s1,Mochi,Japanese,11.5
54,Sakura Sushi,s3,Salmon Sashimi,Japanese,12.19
54,Sakura Sushi,n2,Salmon Sashimi,Japanese,13.18
54,Sakura Sushi,s4,Ramen,Japanese,14.4
54,Sakura Sushi,n4,Salmon Sashimi,Japanese,14.77
42,Tokyo Teppanyaki,s1,Ramen,Japanese,6.62
42,Tokyo Teppanyaki,n2,Tempura,Japanese,7.17
42,Tokyo Teppanyaki,d2,Mochi,Japanese,7.99
42,Tokyo Teppanyaki,s1,California Roll,Japanese,9.5
42,Tokyo Teppanyaki,s4,Salmon Sashimi,Japanese,13.41
42,Tokyo Teppanyaki,s2,California Roll,Japanese,14.12
42,Tokyo Teppanyaki,d1,Tempura,Japanese,14.24
42,Tokyo Teppanyaki,d5,Mochi,Japanese,14.32
102,Wasabi Wave,n4,California Roll,Japanese,6.4
102,Wasabi Wave,s1,Tempura,Japanese,6.98
102,Wasabi Wave,s3,Salmon Sashimi,Japanese,7.56
102,Wasabi Wave,s2,Mochi,Japanese,8.14
102,Wasabi Wave,n1,Ramen,Japanese,8.51
102,Wasabi Wave,n2,Mochi,Japanese,9.45
102,Wasabi Wave,s3,Mochi,Japanese,10.34
102,Wasabi Wave,n5,California Roll,Japanese,11.15
102,Wasabi Wave,n3,Tempura,Japanese,13.54
