restaurant_id,restaurant,product_id,menu_item,cuisine,price
2,Aegean Breeze,s3,Greek Salad,Mediterranean,11.43
2,Aegean Breeze,d1,Greek Salad,Mediterranean,11.91
2,Aegean Breeze,m2,Grilled Octopus,Mediterranean,12.58
2,Aegean Breeze,s2,Baklava,Mediterranean,13.13
2,Aegean Breeze,d5,Greek Salad,Mediterranean,13.55
2,Aegean Breeze,g3,Greek Salad,Mediterranean,14.49
2,Aegean Breeze,g2,Lamb Kebab,Mediterranean,14.68
50,Aegean Breeze,d2,Falafel,Mediterranean,5.06
50,Aegean Breeze,s4,Greek Salad,Mediterranean,5.97
50,Aegean Breeze,g2,Baklava,Mediterranean,6.01
50,Aegean Breeze,s1,Greek Salad,Mediterranean,8.95
50,Aegean Breeze,g1,Grilled Octopus,Mediterranean,9.45
50,Aegean Breeze,d1,Grilled Octopus,Mediterranean,11.52
50,Aegean Breeze,s2,Grilled Octopus,Mediterranean,12.3
50,Aegean Breeze,s5,Lamb Kebab,Mediterranean,13.19
50,Aegean Breeze,s3,Grilled Octopus,Mediterranean,13.34
50,Aegean Breeze,d3,Falafel,Mediterranean,13.91
122,Olive & Thyme,s1,Baklava,Mediterranean,5.44
122,Olive & Thyme,m2,Hummus,Mediterranean,6.34
122,Olive & Thyme,s2,Falafel,Mediterranean,7.18
122,Olive & Thyme,s5,Baklava,Mediterranean,7.82
122,Olive & Thyme,g2,Lamb Kebab,Mediterranean,7.99
122,Olive & Thyme,m5,Baklava,Mediterranean,9.53
122,Olive & Thyme,m3,Baklava,Mediterranean,10.72
122,Olive & Thyme,g3,Greek Salad,Mediterranean,11.6
122,Olive & Thyme,m1,Falafel,Mediterranean,14.04
158,Olive & Thyme,g2,Lamb Kebab,Mediterranean,5.99
158,Olive & Thyme,s2,Lamb Kebab,Mediterranean,8.58
158,Olive & Thyme,g4,Greek Salad,Mediterranean,9.27
158,Olive & Thyme,s1,Greek Salad,Mediterranean,9.33
158,Olive & Thyme,g3,Grilled Octopus,Mediterranean,10.09
158,Olive & Thyme,d2,Lamb Kebab,Mediterranean,11.96
158,Olive & Thyme,d1,Greek Salad,Mediterranean,11.98
158,Olive & Thyme,g1,Falafel,Mediterranean,14.23
170,Olive & Thyme,d3,Hummus,Mediterranean,5.89
170,Olive & Thyme,m5,Lamb Kebab,Mediterranean,6.4
170,Olive & Thyme,m2,Lamb Kebab,Mediterranean,6.46
170,Olive & Thyme,s1,Lamb Kebab,Mediterranean,6.91
170,Olive & Thyme,g1,Lamb Kebab,Mediterranean,7.19
