restaurant_id,restaurant,product_id,menu_item,cuisine,price
107,Hanoi House,n4,Banh Mi,Vietnamese,5.14
107,Hanoi House,d2,Pho,Vietnamese,5.57
107,Hanoi House,r4,Che,Vietnamese,5.79
107,Hanoi House,r1,Bun Thit Nuong,Vietnamese,7.59
107,Hanoi House,r2,Banh Mi,Vietnamese,8.18
107,Hanoi House,d4,Pho,Vietnamese,8.25
107,Hanoi House,s1,Banh Mi,Vietnamese,9.78
107,Hanoi House,s2,Banh Mi,Vietnamese,12.33
107,Hanoi House,s4,Banh Mi,Vietnamese,13.31
107,Hanoi House,d3,Lemongrass Chicken,Vietnamese,13.84
155,Hanoi House,s2,Pho,Vietnamese,5.54
155,Hanoi House,d4,Spring Rolls,Vietnamese,6.31
155,Hanoi House,r5,Che,Vietnamese,8.08
155,Hanoi House,n3,Banh Mi,Vietnamese,9.09
155,Hanoi House,n1,Che,Vietnamese,9.28
155,Hanoi House,r3,Che,Vietnamese,14.75
155,Hanoi House,n2,Banh Mi,Vietnamese,14.81
23,Hanoi House,n2,Bun Thit Nuong,Vietnamese,5.73
23,Hanoi House,r5,Banh Mi,Vietnamese,7.94
23,Hanoi House,r4,Bun Thit Nuong,Vietnamese,8.19
23,Hanoi House,r2,Che,Vietnamese,8.4
23,Hanoi House,d2,Pho,Vietnamese,8.58
23,Hanoi House,s2,Che,Vietnamese,11.55
23,Hanoi House,d4,Pho,Vietnamese,14.05
11,Lotus Leaf,n3,Spring Rolls,Vietnamese,6.76
11,Lotus Leaf,r3,Bun Thit Nuong,Vietnamese,7.59
11,Lotus Leaf,n1,Bun Thit Nuong,Vietnamese,7.95
11,Lotus Leaf,r4,Pho,Vietnamese,11.61
11,Lotus Leaf,d3,Bun Thit Nuong,Vietnamese,12.15
11,Lotus Leaf,s1,Che,Vietnamese,13.35
11,Lotus Leaf,d1,Banh Mi,Vietnamese,14.71
143,Lotus Leaf,s2,Spring Rolls,Vietnamese,5.06
143,Lotus Leaf,r1,Lemongrass Chicken,Vietnamese,6.33
143,Lotus Leaf,n1,Pho,Vietnamese,7.69
